iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SLE,Africa,Sierra Leone,2021-09-17,6391.0,3.0,1.714,121.0,0.0,0.0,785.006,0.368,0.211,14.862,0.0,0.0,0.68,,,,,,,,,,,,,,,,,,221110.0,181065.0,40045.0,,,1621.0,2.72,2.22,0.49,,199.0,29.63,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,
SGP,Asia,Singapore,2021-09-17,75783.0,935.0,738.714,59.0,0.0,0.143,12851.799,158.564,125.276,10.006,0.0,0.024,1.81,266.0,45.11,,,,,,,,18638817.0,3160.898,,63021.0,10.688,0.008,130.0,samples tested,9084721.0,4654992.0,4544159.0,,11919.0,10350.0,154.06,78.94,77.06,,1755.0,47.22,5896684.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SXM,North America,Sint Maarten (Dutch part),2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48882.0,25516.0,23366.0,,,53.0,112.58,58.76,53.81,,1221.0,,43421.0,1209.088,,,,36327.232,,,,,,,,78.95,,
SVK,Europe,Slovakia,2021-09-17,401250.0,902.0,498.714,12569.0,3.0,1.571,73479.241,165.18,91.327,2301.709,0.549,0.288,1.53,,,143.0,26.187,4.002,0.733,29.015,5.313,27933.0,41455749.0,7591.619,5.115,26970.0,4.939,0.023,43.5,tests performed,4636179.0,2415058.0,2221121.0,,39.0,2899.0,84.9,44.23,40.67,,531.0,34.72,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVN,Europe,Slovenia,2021-09-17,281687.0,1143.0,1022.714,4492.0,6.0,3.714,135509.637,549.857,491.992,2160.942,2.886,1.787,1.42,70.0,33.675,292.0,140.471,53.558,25.765,222.168,106.877,6528.0,1519459.0,730.958,3.14,5074.0,2.441,0.201,5.0,tests performed,2034157.0,1071680.0,962477.0,,7485.0,11329.0,97.86,51.55,46.3,,5450.0,35.19,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,
SLB,Oceania,Solomon Islands,2021-09-17,20.0,0.0,0.0,,,0.0,28.409,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,97744.0,74573.0,23171.0,,,1867.0,13.88,10.59,3.29,,2652.0,38.89,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,
SOM,Africa,Somalia,2021-09-17,18820.0,0.0,78.143,1041.0,0.0,3.429,1150.402,0.0,4.777,63.633,0.0,0.21,1.23,,,,,,,,,,,,,,,,,,351305.0,231089.0,120216.0,,,4209.0,2.15,1.41,0.73,,257.0,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,
ZAF,Africa,South Africa,2021-09-17,2877063.0,3648.0,4019.714,85952.0,173.0,192.0,47917.511,60.757,66.948,1431.531,2.881,3.198,0.71,,,,,,,,,45342.0,17236691.0,287.077,0.755,43746.0,0.729,0.099,10.1,people tested,15683797.0,11367049.0,7734069.0,,236763.0,222541.0,26.12,18.93,12.88,,3706.0,51.85,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,
OWID_SAM,,South America,2021-09-17,37334191.0,19913.0,22537.429,1145044.0,654.0,841.857,85971.95,45.855,51.898,2636.77,1.506,1.939,,,,,,,,,,,,,,,,,,,406021857.0,253314189.0,158061704.0,3394537.0,536485.0,2042057.0,93.5,58.33,36.4,0.78,4702.0,,434260138.0,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-09-17,284022.0,2084.0,1827.857,2394.0,5.0,5.143,5535.932,40.62,35.627,46.662,0.097,0.1,1.02,,,,,,,,,47324.0,13017726.0,253.731,0.922,41620.0,0.811,0.042,23.8,people tested,55514851.0,35414516.0,21489009.0,,731206.0,747375.0,108.21,69.03,41.88,,14567.0,47.22,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,
